인허가일자,영업상태구분코드,영업상태명,폐업일자,구,법정동,도로명전체주소,사업장명,업태구분명,좌표정보(x),좌표정보(y),행정동명,행정동코드,소재지면적,교통 수,집객시설 수,교육 수,경쟁자 수,인허가 영업,인허가 폐업,인허가 영업+폐업,타업종비율,타업종경쟁자,버퍼내폐업비율,영업기간,,아파트 세대수,제곱미터 당 임대료,임대료,총생활인구수,점심저녁시간대 생활인구수,골목상권,발달상권,구분불가,전통시장,관광특구,생존확률,생존예측
20190523,0,영업/정상,,영등포구,신길동,"서울특별시 영등포구 신풍로 77, B동 지하2층 114호 (신길동, 래미안에스티움)",진시황,중국식,192329,444241,신길6동,11560680,37,96,9,194,68,521,560,1081,0.937095282,1013,0.518038853,1166,1,18511,29959.42714,1103,21564.58296,19114.97627,0,0,1,0,0,0.10650014,0
20181018,0,영업/정상,,영등포구,신길동,"서울특별시 영등포구 신풍로 77, 상가동 지2층 B113호 (신길동, 래미안에스티움)",쏘핫마라탕,중국식,192329,444241,신길6동,11560680,43,96,9,194,68,521,560,1081,0.937095282,1013,0.518038853,1383,1,18511,29959.42714,1284,21564.58296,19114.97627,0,0,1,0,0,0.10650014,0
20190611,0,영업/정상,,영등포구,대림동,"서울특별시 영등포구 신길로15길 20, 1층층 (대림동)",수성식당,중국식,191635.0914,443848.1295,대림1동,11560700,26,104,11,177,400,919,879,1798,0.77753059,1398,0.488876529,1147,1,13489,32489.105,858,16583.03822,17555.13785,0,0,1,0,0,0.18529493,0
20220310,0,영업/정상,,영등포구,대림동,"서울특별시 영등포구 신길로 39, 썬프라자 3층 1호 (대림동)",중원,중국식,191800.7282,443809.7739,대림1동,11560700,21,105,11,178,267,757,776,1533,0.825831703,1266,0.506196999,144,1,13489,32489.105,679,16583.03822,17555.13785,0,0,1,0,0,0.10650014,0
20201019,0,영업/정상,,영등포구,신길동,"서울특별시 영등포구 도림로 224, 1층 (신길동)",자매양꼬치,중국식,191502.1131,444011.9215,대림1동,11560700,30,108,11,178,370,895,885,1780,0.792134831,1410,0.497191011,651,1,15831,29959.42714,899,16583.03822,17555.13785,0,0,1,0,0,0.18529493,0
20181105,0,영업/정상,,영등포구,대림동,"서울특별시 영등포구 디지털로37나길 10, 1층 (대림동)",동북정육식당,중국식,191013.1906,443178.8519,대림2동,11560710,26,105,12,128,598,1530,1390,2920,0.795205479,2322,0.476027397,1365,1,9979,32489.105,858,19148.97663,18843.2556,0,0,1,0,0,0.19898562,0
20190503,0,영업/정상,,영등포구,대림동,"서울특별시 영등포구 도림로38길 5, 지하1층 (대림동)",왕비포차,중국식,190861.6551,443387.1293,대림2동,11560710,160,111,15,141,587,1366,1287,2653,0.778741048,2066,0.485111195,1186,1,10257,32489.105,5186,19148.97663,18843.2556,0,0,1,0,0,0.18529493,0
20190517,0,영업/정상,,영등포구,대림동,"서울특별시 영등포구 대림로29길 30, 지하1층 (대림동)",향교연 운남쌀국수,중국식,190771.5117,443620.793,대림2동,11560710,46,105,17,136,577,1187,1154,2341,0.753524135,1764,0.49295173,1172,1,10378,32489.105,1504,19148.97663,18843.2556,0,0,1,0,0,0.18529493,0
20180703,0,영업/정상,,영등포구,대림동,"서울특별시 영등포구 도림로38길 6-1, 2층 (대림동)",안나리숯불신선로,중국식,190851.5122,443363.2861,대림2동,11560710,93,111,15,140,592,1408,1316,2724,0.78267254,2132,0.483113069,1490,1,10257,32489.105,3005,19148.97663,18843.2556,0,0,1,0,0,0.18529493,0
20190926,0,영업/정상,,영등포구,대림동,"서울특별시 영등포구 디지털로53길 15, 2층 (대림동)",이치뉴피바,중국식,191110.0441,443304.0294,대림2동,11560710,113,104,15,130,565,1387,1215,2602,0.782859339,2037,0.466948501,1040,1,11803,32489.105,3671,19148.97663,18843.2556,0,0,1,0,0,0.19898562,0
