교육 수,교통 수,버퍼내폐업비율,아파트 세대수,임대료,점심저녁시간대 생활인구수,집객시설 수,타업종경쟁자
66,63,0.362491253,3225,1241,40993.88901,14,1352
104,62,0.507868383,6204,759,22158.3917,9,1317
67,66,0.430406852,10121,577,31295.34849,3,442
101,107,0.397740113,6180,7345,21621.5139,19,1685
70,99,0.37454324,884,1628,20821.24615,21,1566
306,90,0.496052632,14107,878,19067.69557,13,1465
120,109,0.450980392,10644,1647,14397.35925,9,481
212,102,0.492424242,17334,711,21000.83161,5,1149
20,43,0.320224719,1032,3097,13854.49042,28,2057
128,90,0.441471572,5757,2102,24959.37612,10,1736
83,85,0.528534371,7209,695,32500.0954,19,1472
298,74,0.524513619,18316,1281,27888.34453,10,1239
247,64,0.499327052,15783,2070,27888.34453,7,717
18,51,0.42248062,1588,924,14397.35925,5,243
83,93,0.531073446,10705,1413,18323.99703,7,1025
111,101,0.463134899,6094,894,27016.92851,12,1777
115,103,0.454013822,5828,1294,27016.92851,12,1828
192,42,0.322429907,6602,2809,19131.085,9,809
188,42,0.323598131,6602,3858,19131.085,9,809
192,92,0.531221719,14445,3073,17611.706,2,1045
195,98,0.53,13478,3595,17611.706,3,943
190,102,0.53481332,13796,6248,17611.706,1,938
186,101,0.524262607,12778,961,17611.706,4,993
197,105,0.516309413,12778,2410,17611.706,4,1015
210,105,0.53304721,14142,1915,17611.706,4,1104
189,101,0.524233432,12574,1495,17611.706,3,954
259,125,0.474617244,18888,3477,34991.12653,9,1182
272,122,0.463883366,21409,1424,23326.5946,13,1449
259,120,0.532524807,8170,835,21672.20931,13,1748
259,121,0.532366071,8530,4075,21672.20931,10,1727
345,130,0.507022472,23045,1760,13067.23319,13,670
186,87,0.542410714,13089,3140,21672.20931,13,1723
191,94,0.545400943,13982,1711,21672.20931,13,1630
298,106,0.479050279,29316,825,19015.55315,8,1365
111,87,0.494335736,14226,2479,25308.72175,5,925
109,89,0.479919679,14107,2138,25308.72175,5,951
