경쟁자 수,교통 수,인허가 폐업,임대료,점심저녁시간대 생활인구수,집객시설 수,타업종비율
187,118,995,214,24944.83827,17,0.909792571
173,91,980,656,11110.7312,12,0.900688863
96,79,502,339,13732.39908,9,0.900928793
174,95,1010,856,11110.7312,12,0.902630106
178,100,1062,898,11110.7312,14,0.905016009
197,99,1128,1625,11110.7312,14,0.902859961
171,94,989,902,11110.7312,12,0.902785674
228,119,1256,560,20675.0014,13,0.905276278
231,118,1355,1026,20675.0014,11,0.911697248
222,100,1254,341,20675.0014,16,0.905531915
197,105,1073,1674,26465.70576,8,0.905379443
203,95,832,1051,19006.12565,15,0.886401791
154,104,540,1033,19114.97627,7,0.854579792
183,108,874,487,17555.13785,11,0.895189003
203,86,801,840,28933.52476,9,0.858339149
199,93,814,1026,28933.52476,9,0.863136176
207,109,1070,826,39979.50338,14,0.896551724
205,110,1116,1462,39979.50338,13,0.900774443
137,96,605,1339,39979.50338,3,0.878005343
143,86,655,1118,39979.50338,6,0.881818182
176,119,921,1125,21740.24438,9,0.897376093
155,112,830,873,11706.96044,10,0.899154196
125,73,732,679,20560.19923,5,0.9256395
68,87,274,1543,34418.83947,10,0.885135135
49,66,245,472,34418.83947,9,0.905222437
94,97,334,1816,20961.26048,12,0.867791842
165,62,640,764,17751.98874,6,0.882645804
147,60,590,723,17751.98874,5,0.885335413
144,61,569,1959,17751.98874,5,0.883116883
161,57,627,511,17751.98874,5,0.880652335
55,77,166,1078,32026.19779,37,0.876957494
52,77,159,761,32026.19779,38,0.880733945
125,89,565,645,10442.05896,7,0.901341752
144,93,623,945,10442.05896,6,0.896402878
151,113,852,1336,12563.15445,8,0.904490829
157,113,900,702,12563.15445,8,0.906324582
159,134,836,803,23417.87961,9,0.896349413
201,96,670,445,38359.04293,9,0.870905588
124,103,683,1035,20835.35135,4,0.909290417
279,131,1817,700,92063.85439,25,0.920376712
143,92,768,2108,31725.04397,15,0.898509581
197,107,1031,496,31725.04397,19,0.897555902
300,115,1382,1189,39161.33257,12,0.884437596
300,110,1280,2469,39161.33257,12,0.874319229
240,101,1002,334,39161.33257,8,0.873150106
239,103,1002,996,39161.33257,8,0.873276776
239,101,994,210,39161.33257,8,0.872192513
191,87,809,968,27511.30988,9,0.878343949
329,145,1668,2472,23689.09175,36,0.890552229
336,147,1759,204,23689.09175,37,0.89329946
345,144,1673,1816,16952.0564,34,0.886587771
197,71,643,700,10332.55119,16,0.86281337
139,104,421,1438,35764.16763,12,0.841505131
135,135,397,1315,17973.59103,11,0.837935174
173,79,583,757,9401.494158,20,0.87012012
173,79,583,816,9401.494158,20,0.87012012
191,98,717,1630,21621.5139,17,0.876455369
197,116,764,960,15465.62248,13,0.871493803
35,72,157,1664,32112.02428,33,0.927083333
160,98,495,395,16881.08351,8,0.855465221
65,86,249,424,14497.79317,6,0.861111111
73,84,272,1530,14497.79317,8,0.858527132
170,95,486,2098,21621.5139,14,0.864864865
151,87,419,3496,20984.2943,15,0.867659947
176,107,728,1071,37557.40959,22,0.868065967
176,86,618,2227,37557.40959,21,0.866159696
199,120,605,1496,44978.79125,9,0.870104439
146,81,566,992,10332.55119,20,0.883386581
176,81,646,414,10332.55119,18,0.879616963
153,78,565,677,10332.55119,19,0.88221709
190,82,732,732,10332.55119,19,0.885885886
105,83,383,840,26011.7297,6,0.860927152
154,80,647,1390,18428.03924,7,0.888081395
105,73,560,1475,18428.03924,6,0.910865874
147,79,641,819,18428.03924,7,0.89070632
134,86,507,1595,17360.79085,15,0.877737226
166,85,935,1031,31725.04397,16,0.903432228
126,106,427,692,20961.26048,8,0.856164384
126,106,427,559,20961.26048,8,0.856164384
153,64,517,445,40993.88901,14,0.892405063
233,118,1037,1100,21602.06247,7,0.881785895
147,61,535,552,10572.78467,6,0.867686769
162,62,615,713,18553.493,3,0.878469617
