경쟁자 수,교육 수,교통 수,버퍼내폐업비율,인허가 영업,인허가 폐업,임대료,집객시설 수,타업종경쟁자
69,290,97,0.535142658,668,769,1914,11,1368
64,312,94,0.528384279,648,726,1074,10,1310
68,396,97,0.533287101,673,769,1083,11,1374
187,422,71,0.441157133,850,671,3017,12,1334
184,430,72,0.443378119,870,693,2147,21,1379
115,158,105,0.462230216,598,514,2382,19,997
127,127,81,0.455364455,665,556,2839,14,1094
133,148,86,0.46702047,703,616,2012,14,1186
128,132,83,0.469033856,643,568,2794,13,1083
131,195,90,0.465229485,769,669,2972,13,1307
124,186,91,0.458420685,775,656,812,13,1307
130,179,90,0.461484099,762,653,1378,13,1285
124,186,91,0.458420685,775,656,812,13,1307
121,196,111,0.459807074,672,572,971,13,1123
155,116,65,0.480188046,774,715,2133,17,1334
102,214,113,0.495803357,841,827,1528,12,1566
85,172,97,0.499707431,855,854,5375,20,1624
85,172,97,0.499707431,855,854,715,25,1624
85,172,97,0.499707431,855,854,567,19,1624
85,191,110,0.519345238,646,698,1540,8,1259
24,222,61,0.507207207,547,563,1308,7,1086
