인허가일자,영업상태구분코드,영업상태명,폐업일자,구,법정동,도로명전체주소,사업장명,업태구분명,좌표정보(x),좌표정보(y),행정동명,행정동코드,소재지면적,교통 수,집객시설 수,교육 수,경쟁자 수,인허가 영업,인허가 폐업,인허가 영업+폐업,타업종비율,타업종경쟁자,버퍼내폐업비율,영업기간,아파트 세대수,제곱미터 당 임대료,임대료,총생활인구수,점심저녁시간대 생활인구수,골목상권,발달상권,구분불가,전통시장,관광특구,생존확률,생존여부
20170922,0,영업/정상,,강서구,공항동,"서울특별시 강서구 공항대로 42, 1층 (공항동)",청년다방공항송정역점,분식,183313.262,450985.4293,공항동,11500620,66,66,6,42,60,526,450,976,0.93852459,916,0.461065574,1774,4419,35375.8625,2335,34341.77717,35041.84366,1,0,0,0,0,0.015704403,0
20211018,0,영업/정상,,강서구,방화동,"서울특별시 강서구 방화대로41길 6, 상가동 1층 104호 (방화동, 강서센트레빌3차)",마음공작소,분식,183686.6848,452183.369,방화1동,11500630,29,94,5,190,95,608,513,1121,0.915254237,1026,0.457627119,287,17950,33748.31167,985,32176.06713,30733.40349,1,0,0,0,0,0.022840338,0
20191118,0,영업/정상,,강서구,화곡동,"서울특별시 강서구 강서로5길 16, 1층 (화곡동)",김쌤,분식,186501.7184,447407.8187,신월2동,11470570,29,64,8,204,124,790,722,1512,0.917989418,1388,0.477513228,987,5282,32815.28643,948,14257.75839,13340.90472,1,0,0,0,0,0.01625814,0
20210623,0,영업/정상,,강서구,화곡동,"서울특별시 강서구 강서로 24, 성지빌딩 4층 (화곡동)",지지 보드게임카페,분식,186495.1062,447549.8211,신월2동,11470570,165,67,7,202,120,765,692,1457,0.917638984,1337,0.474948524,404,3793,32815.28643,5415,14257.75839,13340.90472,1,0,0,0,0,0.01625814,0
20190903,0,영업/정상,,양천구,목동,"서울특별시 양천구 오목로 350, 썬택씨티빌딩 지상1층 (목동)",마포만두 오목교점,분식,188992.7942,446886.6209,신정2동,11470630,76,67,12,514,127,546,555,1101,0.884650318,974,0.504087193,1063,18545,36652.715,2787,13523.87203,12830.53078,1,0,0,0,0,0.012449829,0
20190619,0,영업/정상,,관악구,봉천동,"서울특별시 관악구 관악로14길 103, 1층 (봉천동)",미분당,분식,196223.2705,441743.1507,낙성대동,11620585,33,73,13,107,221,918,883,1801,0.877290394,1580,0.490283176,1139,2455,34241.72278,1130,22994.1333,23937.25458,1,0,0,0,0,0.012449829,0
20191224,0,영업/정상,,관악구,봉천동,"서울특별시 관악구 관악로12길 113, 대원빌딩 1층 101호 (봉천동)",딸랏롯빠이,분식,196260.3461,441697.4008,낙성대동,11620585,21,74,13,99,219,893,860,1753,0.875071306,1534,0.490587564,951,2337,34241.72278,719,22994.1333,23937.25458,1,0,0,0,0,0.012449829,0
20191125,0,영업/정상,,관악구,봉천동,"서울특별시 관악구 관악로 184, 1층 (봉천동)",꿀마니닭강정,분식,195793.2246,442148.7578,낙성대동,11620585,20,73,13,177,281,1142,1213,2355,0.880679406,2074,0.51507431,980,6928,34241.72278,685,22994.1333,23937.25458,1,0,0,0,0,0.012449829,0
20220218,0,영업/정상,,관악구,봉천동,"서울특별시 관악구 남부순환로 1835, 1층 37,38,39,40호 (봉천동)",또또꼬마깁밥 서울대입구역점,분식,195890.9818,442083.3431,낙성대동,11620585,26,68,13,152,260,1108,1146,2254,0.884649512,1994,0.508429459,164,6376,34241.72278,904,22994.1333,23937.25458,1,0,0,0,0,0.012449829,0
20180625,0,영업/정상,,관악구,봉천동,"서울특별시 관악구 관악로14길 59, 1층 (봉천동)",참새방앗간,분식,196028.713,441827.8397,낙성대동,11620585,10,63,13,115,220,977,926,1903,0.884393064,1683,0.486600105,1498,1978,34241.72278,339,22994.1333,23937.25458,1,0,0,0,0,0.012449829,0
20200514,0,영업/정상,,관악구,봉천동,"서울특별시 관악구 관악로14길 45, 1층 5호 (봉천동)",남도분식 서울대입구역점,분식,195956.1383,441847.0835,낙성대동,11620585,23,61,14,110,222,998,944,1942,0.885684861,1720,0.486096807,809,3785,34241.72278,792,22994.1333,23937.25458,1,0,0,0,0,0.012449829,0
20210827,0,영업/정상,,관악구,봉천동,"서울특별시 관악구 봉천로 507-30, 지하1층 (봉천동)",On the moon(온 더 문),분식,196096.0435,442040.3086,낙성대동,11620585,47,68,14,149,235,1025,1031,2056,0.885700389,1821,0.501459144,339,4389,34241.72278,1605,22994.1333,23937.25458,1,0,0,0,0,0.012449829,0
20180917,0,영업/정상,,관악구,봉천동,"서울특별시 관악구 관악로14길 50, 1층 (봉천동)",삼미제면,분식,195972.9377,441822.2462,낙성대동,11620585,28,61,13,108,225,993,942,1935,0.88372093,1710,0.486821705,1414,2509,34241.72278,959,22994.1333,23937.25458,1,0,0,0,0,0.012449829,0
20210319,0,영업/정상,,관악구,봉천동,"서울특별시 관악구 관악로14길 28, 1층 (봉천동)",아궁이빙수,분식,195859.5276,441864.0883,낙성대동,11620585,28,63,13,111,226,1017,989,2006,0.887337986,1780,0.493020937,500,3125,34241.72278,959,22994.1333,23937.25458,1,0,0,0,0,0.014836066,0
