경쟁자 수,교육 수,교통 수,버퍼내폐업비율,아파트 세대수,임대료,점심저녁시간대 생활인구수,집객시설 수,타업종경쟁자,타업종비율
281,195,64,0.49985959,5701,1285,134994.9088,64,3280,0.921089582
286,229,62,0.498885173,4144,1211,134994.9088,86,3302,0.920289855
276,166,72,0.507497116,4795,1744,134994.9088,67,3192,0.920415225
124,253,123,0.551416376,12333,618,23689.09175,31,2453,0.951882033
124,262,118,0.550877193,13459,1066,23689.09175,31,2441,0.95165692
58,114,89,0.391905232,16148,3779,14361.50336,26,955,0.942744324
349,119,68,0.563636364,3916,2406,26465.70576,12,2896,0.892449923
371,129,77,0.558995327,4404,4334,26465.70576,13,3053,0.891647196
371,129,77,0.558995327,4404,1048,26465.70576,21,3053,0.891647196
370,129,77,0.563265306,4404,4337,26465.70576,12,3060,0.89212828
376,132,79,0.561891117,5039,6011,26465.70576,11,3114,0.89226361
377,144,80,0.562588302,5486,3743,26465.70576,12,3162,0.893472732
81,320,68,0.312899106,7241,841,23158.27997,15,702,0.896551724
98,222,53,0.321643287,7877,2462,23722.84324,11,900,0.901803607
98,222,53,0.321643287,7877,3332,23722.84324,14,900,0.901803607
65,178,71,0.506829619,8047,2638,55277.9273,6,1326,0.953271028
102,80,67,0.435053885,4864,3283,20560.19923,4,1661,0.942144073
96,67,64,0.428398792,2190,1937,20560.19923,6,1559,0.941993958
103,296,35,0.553724054,16870,2648,27812.43798,6,1535,0.937118437
112,72,76,0.37737175,1251,1112,12294.54395,15,1311,0.921293043
118,80,91,0.380024361,1443,2225,20821.24615,18,1524,0.928136419
111,74,87,0.374756018,1063,2512,20821.24615,19,1426,0.927781392
118,210,79,0.540077154,9206,2463,23624.75283,22,2215,0.949421346
126,207,83,0.538461538,9736,560,23624.75283,21,2435,0.950800469
94,173,80,0.538311371,8854,1556,23624.75283,20,1955,0.954123963
116,208,84,0.545051043,11132,674,23624.75283,17,2137,0.948513094
125,201,80,0.539867756,9609,579,23624.75283,19,2446,0.951380786
98,171,73,0.542829644,9811,1007,23624.75283,23,1980,0.952839269
98,171,73,0.542829644,9811,2983,23624.75283,20,1980,0.952839269
126,204,81,0.539029126,9373,385,23624.75283,20,2449,0.951067961
98,171,73,0.542829644,9811,2955,23624.75283,18,1980,0.952839269
98,171,73,0.542829644,9811,908,23624.75283,19,1980,0.952839269
97,168,73,0.543352601,9811,2479,23624.75283,20,1979,0.95327553
97,168,73,0.543352601,9811,1803,23624.75283,18,1979,0.95327553
97,168,73,0.543352601,9811,309,23624.75283,19,1979,0.95327553
131,216,86,0.53530071,8770,1603,23624.75283,20,2546,0.951064625
125,201,80,0.539867756,9609,988,23624.75283,19,2446,0.951380786
118,165,89,0.476372925,16363,15175,17389.64383,9,1448,0.924648787
122,194,82,0.482866044,16331,2732,17389.64383,11,1483,0.923987539
86,306,58,0.31887456,9390,7185,31098.29863,12,767,0.899179367
