인허가일자,영업상태구분코드,영업상태명,폐업일자,구,법정동,도로명전체주소,사업장명,업태구분명,좌표정보(x),좌표정보(y),행정동명,행정동코드,소재지면적,교통 수,집객시설 수,교육 수,경쟁자 수,인허가 영업,인허가 폐업,인허가 영업+폐업,타업종비율,타업종경쟁자,버퍼내폐업비율,영업기간,아파트 세대수,제곱미터 당 임대료,임대료,총생활인구수,점심저녁시간대 생활인구수,골목상권,발달상권,구분불가,전통시장,관광특구,생존확률,생존예측
20180206,0,영업/정상,,마포구,연남동,"서울특별시 마포구 동교로 256-3, 미소빌딩 1층 (연남동)",로맨틱치즈봉봉 연남점,일식,193307.4267,451152.3681,서교동,11440660,55,123,17,256,298,1300,1451,2751,0.891675754,2453,0.527444566,1637,2345,39811.42,2185,73351.93437,92063.85439,0,1,0,0,0,0.06739235,0
20180213,0,영업/정상,,마포구,연남동,"서울특별시 마포구 동교로 242-6, 1층 제101호,제102호 (연남동)",모모,일식,193279.7238,451014.9814,서교동,11440660,50,124,20,271,332,1502,1710,3212,0.896637609,2880,0.53237858,1630,2584,39811.42,1971,73351.93437,92063.85439,0,1,0,0,0,0.06739235,0
20180402,0,영업/정상,,마포구,연남동,"서울특별시 마포구 연남로3길 23, 1층 (연남동)",모츠모츠,일식,192983.5693,450960.9704,서교동,11440660,79,125,21,300,352,1453,1660,3113,0.886925795,2761,0.533247671,1582,3322,39811.42,3154,73351.93437,92063.85439,0,1,0,0,0,0.069038264,0
20170915,0,영업/정상,,마포구,연남동,"서울특별시 마포구 동교로34길 3 (연남동, 1층)",모모키친,일식,193264.1817,450977.9446,서교동,11440660,71,125,22,277,341,1541,1745,3286,0.896226415,2945,0.531040779,1781,2584,39811.42,2835,73351.93437,92063.85439,0,1,0,0,0,0.06739235,0
20171215,0,영업/정상,,마포구,연남동,"서울특별시 마포구 동교로38길 35, 2층 (연남동)",키햐아,일식,193373.8315,451009.2474,서교동,11440660,85,130,21,268,339,1666,1806,3472,0.902361751,3133,0.52016129,1690,3224,39811.42,3384,73351.93437,92063.85439,0,1,0,0,0,0.065798886,0
20171220,0,영업/정상,,마포구,연남동,"서울특별시 마포구 동교로38길 42, 지하1층 (연남동)",연어롭다,일식,193363.2838,450978.9413,서교동,11440660,31,135,22,269,348,1712,1866,3578,0.90273896,3230,0.521520402,1685,3224,39811.42,1218,73351.93437,92063.85439,0,1,0,0,0,0.065798886,0
20210119,0,영업/정상,,마포구,연남동,"서울특별시 마포구 연남로3길 33, 1층 (연남동)",566라멘(566RAMEN),일식,192940.3855,450927.1157,서교동,11440660,39,127,18,302,355,1454,1687,3141,0.886978669,2786,0.537090099,559,3110,39811.42,1553,73351.93437,92063.85439,0,1,0,0,0,0.069038264,0
20220525,0,영업/정상,,마포구,연남동,"서울특별시 마포구 동교로36길 7, 1층 101호 (연남동, 투윤빌딩)",스탠딩박스,일식,193278.8554,451003.3139,서교동,11440660,32,124,22,272,335,1516,1727,3243,0.896700586,2908,0.532531607,68,2584,39811.42,1272,73351.93437,92063.85439,0,1,0,0,0,0.06739235,0
20220602,0,영업/정상,,마포구,동교동,"서울특별시 마포구 동교로 220-5, 1층 우측호 (동교동)",아야멘,일식,193230.0346,450823.8042,서교동,11440660,43,131,24,297,386,1734,1983,3717,0.896152811,3331,0.533494754,60,4137,45314.8025,1949,73351.93437,92063.85439,0,1,0,0,0,0.06739235,0
20190729,0,영업/정상,,서대문구,연희동,"서울특별시 서대문구 성산로 318, 지상1층 (연희동)",스시준 연희점,일식,193348.1936,451531.851,연남동,11440710,36,95,9,150,174,847,856,1703,0.897827363,1529,0.502642396,1099,2080,31441.5475,1132,18666.24846,18817.68998,0,1,0,0,0,0.06739235,0
20211008,0,영업/정상,,서초구,서초동,"서울특별시 서초구 서초중앙로24길 27, G5센트럴프라자 1층 144,145,146호 (서초동)",우나기야,일식,201386.3382,443689.0751,서초1동,11650510,251,105,38,349,144,949,1098,2047,0.929653151,1903,0.536394724,297,14690,40638.83313,10219,30643.09372,33136.1241,0,1,0,0,0,0.065798886,0
20190325,0,영업/정상,,서초구,서초동,"서울특별시 서초구 서초중앙로 125, 로이어즈타워 지하1층 B3호 (서초동)",교대돈부리,일식,201123.2345,443432.174,서초3동,11650530,20,94,40,250,126,894,884,1778,0.929133858,1652,0.497187852,1225,6800,40638.83313,803,64549.36189,75810.43776,0,1,0,0,0,0.06933341,0
20191004,0,영업/정상,,서초구,서초동,"서울특별시 서초구 서초중앙로26길 6, 2층 (서초동)",스시카네,일식,201159.4128,443685.6996,서초3동,11650530,93,94,35,338,113,802,828,1630,0.930674847,1517,0.50797546,1032,11238,40638.83313,3762,64549.36189,75810.43776,0,1,0,0,0,0.065798886,0
20220328,0,영업/정상,,서초구,서초동,"서울특별시 서초구 서초대로51길 30, 1층 (서초동)",네코소바 서초점,일식,201159.9998,443817.5411,서초3동,11650530,69,90,34,384,109,753,822,1575,0.930793651,1466,0.521904762,126,12177,40638.83313,2820,64549.36189,75810.43776,0,1,0,0,0,0.065798886,0
20210820,0,영업/정상,,서초구,서초동,"서울특별시 서초구 서초대로 280, 태양빌딩 지하1층 (서초동)",강군 횟집,일식,201026.4417,443421.2111,서초3동,11650530,363,96,37,241,126,887,872,1759,0.928368391,1633,0.495736214,346,6800,40638.83313,14767,64549.36189,75810.43776,0,1,0,0,0,0.06933341,0
20210603,0,영업/정상,,서초구,서초동,"서울특별시 서초구 서초대로51길 11, 2층 (서초동)",스시한,일식,201171.7559,443645.8969,서초3동,11650530,88,92,34,298,116,819,848,1667,0.930413917,1551,0.50869826,424,11238,40638.83313,3577,64549.36189,75810.43776,0,1,0,0,0,0.065798886,0
20211006,0,영업/정상,,송파구,송파동,"서울특별시 송파구 백제고분로42길 14, 1층 102호 (송파동)",스시 사사노하,일식,209650.7548,444785.8014,석촌동,11710600,33,50,10,316,128,973,964,1937,0.933918431,1809,0.49767682,299,16932,39428.7575,1301,28978.71938,27768.72215,0,1,0,0,0,0.06933341,0
20210524,0,영업/정상,,송파구,송파동,"서울특별시 송파구 가락로 150, 1층 101호 (송파동)",딜리스시,일식,209881.1354,444508.1639,가락1동,11710631,20,48,11,314,103,831,923,1754,0.941277081,1651,0.52622577,434,18200,39428.7575,789,26179.7932,24590.48557,0,1,0,0,0,0.065798886,0
20211015,0,영업/정상,,서초구,양재동,"서울특별시 서초구 남부순환로356길 92, 102호 (양재동)",호랑이초밥 양재점,일식,203369.674,442072.2071,양재1동,11650651,63,85,18,130,131,925,899,1824,0.928179825,1693,0.492872807,290,2291,29253.71625,1843,53883.53262,57490.43826,0,1,0,0,0,0.06933341,0
20211116,0,영업/정상,,서초구,양재동,"서울특별시 서초구 논현로31길 56, 1층 102호 (양재동)",토라도라,일식,203514.9157,442027.8449,양재1동,11650651,63,84,15,144,123,907,873,1780,0.930898876,1657,0.490449438,258,843,29253.71625,1834,53883.53262,57490.43826,0,1,0,0,0,0.06933341,0
20211118,0,영업/정상,,종로구,인의동,"서울특별시 종로구 종로 183, 효성주얼리시티 지하2층 2006호 (인의동)",하루엔소쿠 종로5가점,일식,199812.6096,452132.6483,을지로동,11140605,8,123,37,73,105,1376,597,1973,0.946781551,1868,0.302584896,256,1482,57241.1675,456,18142.30388,24090.92045,0,1,0,0,0,0.069966026,0
20210803,0,영업/정상,,마포구,서교동,"서울특별시 마포구 동교로 112, 1층 (서교동)",카시와,일식,192364.7484,450256.8076,서교동,11440660,65,117,17,201,405,1790,2211,4001,0.898775306,3596,0.552611847,363,3631,45314.8025,2944,73351.93437,92063.85439,0,1,0,0,0,0.06739235,0
20180918,0,영업/정상,,마포구,서교동,"서울특별시 마포구 동교로 126, 지상1층 102호 (서교동, 광남벨라스아파트)",카와카츠,일식,192526.3149,450277.4283,서교동,11440660,36,122,19,250,455,1956,2401,4357,0.895570347,3902,0.551067248,1413,3504,45314.8025,1643,73351.93437,92063.85439,0,1,0,0,0,0.06739235,0
20210126,0,영업/정상,,마포구,서교동,"서울특별시 마포구 동교로12안길 23, 1층 (서교동)",윤해빛찬,일식,192299.6935,450213.9409,서교동,11440660,29,115,15,188,385,1729,2130,3859,0.900233221,3474,0.551956465,552,3631,45314.8025,1314,73351.93437,92063.85439,0,1,0,0,0,0.065798886,0
20220117,0,영업/정상,,마포구,서교동,"서울특별시 마포구 양화로 72, 효성 해링턴 타워 101동 1층 109호 (서교동)",스시금강,일식,192555.052,449861.9558,합정동,11440680,45,97,14,149,385,1625,2032,3657,0.89472245,3272,0.555646705,196,3386,45314.8025,2025,23087.10524,26465.70576,0,1,0,0,0,0.06739235,0
20200414,0,영업/정상,,마포구,서교동,"서울특별시 마포구 양화로7안길 2-1, 2층 (서교동)",팔공키친,일식,192423.8768,449939.5959,합정동,11440680,23,96,14,149,383,1668,2077,3745,0.897730307,3362,0.554606142,839,3504,45314.8025,1042,23087.10524,26465.70576,0,1,0,0,0,0.06739235,0
